217 301
240.01 35.003 1129
240.01 34.989 1357
240.01 34.976 1411
240.01 34.962 1277
240.01 34.948 1015
240.01 34.935 915
240.01 34.921 817
240.01 34.907 769
240.01 34.894 665
240.01 34.88 599
240.01 34.866 723
240.01 34.853 707
240.01 34.839 607
240.01 34.825 459
240.01 34.812 549
240.01 34.798 521
240.01 34.784 815
240.01 34.771 897
240.01 34.757 1093
240.01 34.743 1107
240.01 34.73 949
240.01 34.716 849
240.01 34.702 609
240.01 34.688 419
240.01 34.675 429
240.01 34.661 385
240.01 34.647 371
240.01 34.633 307
240.01 34.62 239
240.01 34.606 257
240.01 34.592 239
240.01 34.579 257
240.01 34.565 395
240.01 34.551 621
240.01 34.538 947
240.01 34.524 961
240.01 34.51 541
240.01 34.496 347
240.01 34.483 191
240.01 34.469 97
240.01 34.455 25
240.01 34.441 -37
240.01 34.428 -51
240.01 34.414 -61
240.01 34.4 -73
240.01 34.386 -175
240.01 34.373 -421
240.01 34.359 -487
240.01 34.345 -511
240.01 34.331 -537
240.01 34.318 -545
240.01 34.304 -555
240.01 34.29 -559
240.01 34.276 -573
240.01 34.263 -581
240.01 34.249 -583
240.01 34.235 -588
240.01 34.221 -616
240.01 34.207 -599
240.01 34.194 -587
240.01 34.18 -565
240.01 34.166 -529
240.01 34.152 -483
240.01 34.138 -321
240.01 34.125 -179
240.01 34.111 -101
240.01 34.097 -99
240.01 34.083 -77
240.01 34.069 -67
240.01 34.056 -47
240.01 34.042 -29
240.01 34.028 -31
240.01 34.014 -33
240.01 34 -25
240.01 33.986 -19
240.01 33.973 43
240.01 33.959 67
240.01 33.945 99
240.01 33.931 -27
240.01 33.917 -31
240.01 33.904 -33
240.01 33.89 -49
240.01 33.876 -61
240.01 33.862 -75
240.01 33.848 -87
240.01 33.834 -97
240.01 33.821 -105
240.01 33.807 -115
240.01 33.793 -119
240.01 33.779 -165
240.01 33.765 -155
240.01 33.751 -123
240.01 33.737 -123
240.01 33.724 -121
240.01 33.71 -121
240.01 33.696 -121
240.01 33.682 -123
240.01 33.668 -125
240.01 33.654 -129
240.01 33.64 -171
240.01 33.627 -411
240.01 33.613 -467
240.01 33.599 -681
240.01 33.585 -703
240.01 33.571 -707
240.01 33.557 -679
240.01 33.543 -689
240.01 33.529 -725
240.01 33.515 -763
240.01 33.502 -841
240.01 33.488 -849
240.01 33.474 -895
240.01 33.46 -913
240.01 33.446 -923
240.01 33.432 -925
240.01 33.418 -919
240.01 33.404 -917
240.01 33.39 -925
240.01 33.376 -939
240.01 33.362 -943
240.01 33.348 -951
240.01 33.334 -965
240.01 33.321 -973
240.01 33.307 -977
240.01 33.293 -997
240.01 33.279 -969
240.01 33.265 -953
240.01 33.251 -943
240.01 33.237 -945
240.01 33.223 -967
240.01 33.209 -1031
240.01 33.195 -1185
240.01 33.181 -1171
240.01 33.167 -1199
240.01 33.153 -1245
240.01 33.139 -1277
240.01 33.125 -1281
240.01 33.111 -1277
240.01 33.097 -1201
240.01 33.084 -1199
240.01 33.069 -1109
240.01 33.056 -967
240.01 33.042 -961
240.01 33.028 -977
240.01 33.014 -1001
240.01 33 -1043
240.01 32.986 -887
240.01 32.972 -1021
240.01 32.958 -949
240.01 32.944 -903
240.01 32.93 -913
240.01 32.916 -1121
240.01 32.902 -1119
240.01 32.888 -1167
240.01 32.874 -1159
240.01 32.86 -1167
240.01 32.846 -1169
240.01 32.832 -1169
240.01 32.818 -1163
240.01 32.804 -1139
240.01 32.79 -891
240.01 32.776 -903
240.01 32.762 -963
240.01 32.748 -1061
240.01 32.734 -1053
240.01 32.72 -915
240.01 32.706 -827
240.01 32.692 -805
240.01 32.678 -809
240.01 32.664 -847
240.01 32.65 -945
240.01 32.636 -1027
240.01 32.621 -1301
240.01 32.607 -1615
240.01 32.593 -1725
240.01 32.579 -1751
240.01 32.565 -1729
240.01 32.551 -1729
240.01 32.537 -1747
240.01 32.523 -1719
240.01 32.509 -1691
240.01 32.495 -1667
240.01 32.481 -1611
240.01 32.467 -1501
240.01 32.453 -1187
240.01 32.439 -1041
240.01 32.425 -961
240.01 32.411 -975
240.01 32.397 -1031
240.01 32.383 -1313
240.01 32.368 -1785
240.01 32.354 -1929
240.01 32.34 -2063
240.01 32.326 -2243
240.01 32.312 -2465
240.01 32.298 -2729
240.01 32.284 -2725
240.01 32.27 -2841
240.01 32.256 -2847
240.01 32.242 -2905
240.01 32.228 -3153
240.01 32.214 -3389
240.01 32.199 -3495
240.01 32.185 -3563
240.01 32.171 -3579
240.01 32.157 -3583
240.01 32.143 -3567
240.01 32.129 -3565
240.01 32.115 -3559
240.01 32.101 -3569
240.01 32.087 -3581
240.01 32.072 -3577
240.01 32.058 -3567
240.01 32.044 -3555
240.01 32.03 -3473
240.01 32.016 -3439
240.01 32.002 -3285
240.03 35.003 901
240.03 34.989 1113
240.03 34.976 1341
240.03 34.962 1335
240.03 34.948 1139
240.03 34.935 971
240.03 34.921 815
240.03 34.907 783
240.03 34.894 749
240.03 34.88 703
240.03 34.866 891
240.03 34.853 823
240.03 34.839 619
240.03 34.825 505
240.03 34.812 707
240.03 34.798 617
240.03 34.784 627
240.03 34.771 803
240.03 34.757 943
240.03 34.743 1129
240.03 34.73 1093
240.03 34.716 1033
240.03 34.702 779
240.03 34.688 605
240.03 34.675 501
240.03 34.661 443
240.03 34.647 365
240.03 34.633 305
240.03 34.62 297
240.03 34.606 283
240.03 34.592 261
240.03 34.579 249
240.03 34.565 347
240.03 34.551 605
240.03 34.538 881
240.03 34.524 1061
240.03 34.51 669
240.03 34.496 403
240.03 34.483 253
240.03 34.469 131
240.03 34.455 43
240.03 34.441 -9
240.03 34.428 -43
240.03 34.414 -57
240.03 34.4 -71
240.03 34.386 -161
240.03 34.373 -413
240.03 34.359 -461
240.03 34.345 -481
240.03 34.331 -499
240.03 34.318 -535
240.03 34.304 -543
240.03 34.29 -547
240.03 34.276 -555
240.03 34.263 -563
240.03 34.249 -575
240.03 34.235 -577
240.03 34.221 -648
240.03 34.207 -579
240.03 34.194 -571
240.03 34.18 -557
240.03 34.166 -515
240.03 34.152 -451
240.03 34.138 -249
240.03 34.125 -149
240.03 34.111 -99
240.03 34.097 -93
240.03 34.083 -73
240.03 34.069 -67
240.03 34.056 -47
240.03 34.042 -31
240.03 34.028 -35
240.03 34.014 -37
240.03 34 -37
240.03 33.986 -19
240.03 33.973 -11
240.03 33.959 -5
240.03 33.945 33
240.03 33.931 -27
240.03 33.917 -33
240.03 33.904 -35
240.03 33.89 -55
240.03 33.876 -65
240.03 33.862 -77
240.03 33.848 -93
240.03 33.834 -97
240.03 33.821 -111
240.03 33.807 -113
240.03 33.793 -117
240.03 33.779 -185
240.03 33.765 -197
240.03 33.751 -143
240.03 33.737 -127
240.03 33.724 -125
240.03 33.71 -127
240.03 33.696 -127
240.03 33.682 -129
240.03 33.668 -129
240.03 33.654 -129
240.03 33.64 -137
240.03 33.627 -259
240.03 33.613 -335
240.03 33.599 -499
240.03 33.585 -623
240.03 33.571 -655
240.03 33.557 -659
240.03 33.543 -673
240.03 33.529 -727
240.03 33.515 -763
240.03 33.502 -837
240.03 33.488 -867
240.03 33.474 -889
240.03 33.46 -893
240.03 33.446 -919
240.03 33.432 -917
240.03 33.418 -913
240.03 33.404 -877
240.03 33.39 -887
240.03 33.376 -895
240.03 33.362 -939
240.03 33.348 -951
240.03 33.334 -961
240.03 33.321 -983
240.03 33.307 -977
240.03 33.293 -971
240.03 33.279 -983
240.03 33.265 -971
240.03 33.251 -943
240.03 33.237 -929
240.03 33.223 -927
240.03 33.209 -987
240.03 33.195 -1061
240.03 33.181 -1185
240.03 33.167 -1237
240.03 33.153 -1293
240.03 33.139 -1257
240.03 33.125 -1239
240.03 33.111 -1189
240.03 33.097 -1105
240.03 33.084 -997
240.03 33.069 -961
240.03 33.056 -877
240.03 33.042 -809
240.03 33.028 -791
240.03 33.014 -751
240.03 33 -681
240.03 32.986 -709
240.03 32.972 -721
240.03 32.958 -681
240.03 32.944 -649
240.03 32.93 -815
240.03 32.916 -1113
240.03 32.902 -1055
240.03 32.888 -1071
240.03 32.874 -1187
240.03 32.86 -1181
240.03 32.846 -1183
240.03 32.832 -1187
240.03 32.818 -1175
240.03 32.804 -1153
240.03 32.79 -1139
240.03 32.776 -853
240.03 32.762 -915
240.03 32.748 -1015
240.03 32.734 -1031
240.03 32.72 -1069
240.03 32.706 -1033
240.03 32.692 -1129
240.03 32.678 -1191
240.03 32.664 -1139
240.03 32.65 -1089
240.03 32.636 -1163
240.03 32.621 -1381
240.03 32.607 -1491
240.03 32.593 -1651
240.03 32.579 -1665
240.03 32.565 -1695
240.03 32.551 -1687
240.03 32.537 -1687
240.03 32.523 -1683
240.03 32.509 -1667
240.03 32.495 -1643
240.03 32.481 -1641
240.03 32.467 -1605
240.03 32.453 -1345
240.03 32.439 -1139
240.03 32.425 -1005
240.03 32.411 -929
240.03 32.397 -939
240.03 32.383 -1129
240.03 32.368 -1483
240.03 32.354 -1777
240.03 32.34 -2047
240.03 32.326 -2179
240.03 32.312 -2327
240.03 32.298 -2397
240.03 32.284 -2449
240.03 32.27 -2471
240.03 32.256 -2477
240.03 32.242 -2591
240.03 32.228 -2725
240.03 32.214 -2897
240.03 32.199 -3365
240.03 32.185 -3549
240.03 32.171 -3603
240.03 32.157 -3557
240.03 32.143 -3551
240.03 32.129 -3543
240.03 32.115 -3541
240.03 32.101 -3553
240.03 32.087 -3569
240.03 32.072 -3585
240.03 32.058 -3579
240.03 32.044 -3543
240.03 32.03 -3477
240.03 32.016 -3451
240.03 32.002 -3323
240.04 35.003 725
240.04 34.989 877
240.04 34.976 1171
240.04 34.962 1349
240.04 34.948 1403
240.04 34.935 1155
240.04 34.921 993
240.04 34.907 925
240.04 34.894 1007
240.04 34.88 853
240.04 34.866 749
240.04 34.853 663
240.04 34.839 533
240.04 34.825 573
240.04 34.812 807
240.04 34.798 777
240.04 34.784 627
240.04 34.771 771
240.04 34.757 735
240.04 34.743 1061
240.04 34.73 1211
240.04 34.716 1183
240.04 34.702 897
240.04 34.688 621
240.04 34.675 465
240.04 34.661 397
240.04 34.647 339
240.04 34.633 387
240.04 34.62 369
240.04 34.606 291
240.04 34.592 243
240.04 34.579 235
240.04 34.565 299
240.04 34.551 481
240.04 34.538 695
240.04 34.524 971
240.04 34.51 601
240.04 34.496 387
240.04 34.483 207
240.04 34.469 127
240.04 34.455 75
240.04 34.441 25
240.04 34.428 -19
240.04 34.414 -55
240.04 34.4 -71
240.04 34.386 -141
240.04 34.373 -385
240.04 34.359 -429
240.04 34.345 -455
240.04 34.331 -481
240.04 34.318 -527
240.04 34.304 -531
240.04 34.29 -531
240.04 34.276 -539
240.04 34.263 -563
240.04 34.249 -565
240.04 34.235 -569
240.04 34.221 -725
240.04 34.207 -569
240.04 34.194 -551
240.04 34.18 -547
240.04 34.166 -507
240.04 34.152 -385
240.04 34.138 -233
240.04 34.125 -111
240.04 34.111 -101
240.04 34.097 -85
240.04 34.083 -69
240.04 34.069 -53
240.04 34.056 -43
240.04 34.042 -39
240.04 34.028 -41
240.04 34.014 -41
240.04 34 -41
240.04 33.986 -41
240.04 33.973 -13
240.04 33.959 -15
240.04 33.945 -17
240.04 33.931 -33
240.04 33.917 -37
240.04 33.904 -61
240.04 33.89 -65
240.04 33.876 -75
240.04 33.862 -83
240.04 33.848 -95
240.04 33.834 -99
240.04 33.821 -111
240.04 33.807 -115
240.04 33.793 -123
240.04 33.779 -179
240.04 33.765 -187
240.04 33.751 -173
240.04 33.737 -135
240.04 33.724 -129
240.04 33.71 -129
240.04 33.696 -131
240.04 33.682 -131
240.04 33.668 -135
240.04 33.654 -137
240.04 33.64 -153
240.04 33.627 -253
240.04 33.613 -399
240.04 33.599 -431
240.04 33.585 -605
240.04 33.571 -605
240.04 33.557 -623
240.04 33.543 -643
240.04 33.529 -707
240.04 33.515 -777
240.04 33.502 -797
240.04 33.488 -839
240.04 33.474 -879
240.04 33.46 -885
240.04 33.446 -915
240.04 33.432 -913
240.04 33.418 -907
240.04 33.404 -881
240.04 33.39 -867
240.04 33.376 -861
240.04 33.362 -871
240.04 33.348 -957
240.04 33.334 -945
240.04 33.321 -963
240.04 33.307 -987
240.04 33.293 -973
240.04 33.279 -969
240.04 33.265 -971
240.04 33.251 -933
240.04 33.237 -885
240.04 33.223 -835
240.04 33.209 -909
240.04 33.195 -1045
240.04 33.181 -1105
240.04 33.167 -1173
240.04 33.153 -1147
240.04 33.139 -1149
240.04 33.125 -1137
240.04 33.111 -1137
240.04 33.097 -1079
240.04 33.084 -1031
240.04 33.069 -967
240.04 33.056 -873
240.04 33.042 -785
240.04 33.028 -753
240.04 33.014 -673
240.04 33 -617
240.04 32.986 -603
240.04 32.972 -641
240.04 32.958 -625
240.04 32.944 -629
240.04 32.93 -673
240.04 32.916 -1115
240.04 32.902 -1043
240.04 32.888 -1015
240.04 32.874 -1165
240.04 32.86 -1179
240.04 32.846 -1193
240.04 32.832 -1189
240.04 32.818 -1187
240.04 32.804 -1191
240.04 32.79 -1203
240.04 32.776 -1035
240.04 32.762 -797
240.04 32.748 -985
240.04 32.734 -987
240.04 32.72 -1043
240.04 32.706 -1055
240.04 32.692 -1137
240.04 32.678 -1135
240.04 32.664 -1251
240.04 32.65 -1305
240.04 32.636 -1291
240.04 32.621 -1199
240.04 32.607 -1285
240.04 32.593 -1645
240.04 32.579 -1621
240.04 32.565 -1631
240.04 32.551 -1639
240.04 32.537 -1657
240.04 32.523 -1663
240.04 32.509 -1657
240.04 32.495 -1651
240.04 32.481 -1649
